game_id,date,team_1,team_2,game_number,team_winner,patch_version
106,14-Sep-2024,dewa,evos,2,dewa,1.9.06
107,14-Sep-2024,ae,geek,1,ae,1.9.06
108,14-Sep-2024,geek,ae,2,geek,1.9.06
109,14-Sep-2024,ae,geek,3,geek,1.9.06
110,14-Sep-2024,rrq,fnoc,1,rrq,1.9.06
111,14-Sep-2024,fnoc,rrq,2,rrq,1.9.06
112,15-Sep-2024,ae,evos,1,ae,1.9.06
113,15-Sep-2024,ae,evos,2,ae,1.9.06
114,15-Sep-2024,tlid,fnoc,1,tlid,1.9.06
115,15-Sep-2024,tlid,fnoc,2,tlid,1.9.06
116,15-Sep-2024,btr,rrq,1,btr,1.9.06
117,15-Sep-2024,btr,rrq,2,rrq,1.9.06
118,15-Sep-2024,btr,rrq,3,rrq,1.9.06
119,20-Sep-2024,geek,dewa,1,geek,1.9.20
120,20-Sep-2024,dewa,geek,2,geek,1.9.20
121,20-Sep-2024,tlid,btr,1,tlid,1.9.20
122,20-Sep-2024,btr,tlid,2,tlid,1.9.20
123,21-Sep-2024,ae,dewa,1,dewa,1.9.20
124,21-Sep-2024,ae,dewa,2,dewa,1.9.20
125,21-Sep-2024,rrq,evos,1,rrq,1.9.20
126,21-Sep-2024,evos,rrq,2,evos,1.9.20
127,21-Sep-2024,evos,rrq,3,evos,1.9.20
128,21-Sep-2024,rbl,fnoc,1,rbl,1.9.20
129,21-Sep-2024,rbl,fnoc,2,rbl,1.9.20
130,22-Sep-2024,rrq,geek,1,rrq,1.9.20
131,22-Sep-2024,geek,rrq,2,rrq,1.9.20
132,22-Sep-2024,rbl,btr,1,btr,1.9.20
133,22-Sep-2024,rbl,btr,2,btr,1.9.20
134,22-Sep-2024,tlid,evos,1,tlid,1.9.20
135,22-Sep-2024,evos,tlid,2,evos,1.9.20
136,22-Sep-2024,tlid,evos,3,tlid,1.9.20
137,27-Sep-2024,geek,tlid,1,tlid,1.9.20
138,27-Sep-2024,tlid,geek,2,tlid,1.9.20
139,27-Sep-2024,rrq,dewa,1,rrq,1.9.20
140,27-Sep-2024,dewa,rrq,2,rrq,1.9.20
141,28-Sep-2024,evos,rbl,1,rbl,1.9.20
142,28-Sep-2024,evos,rbl,2,evos,1.9.20
143,28-Sep-2024,evos,rbl,3,evos,1.9.20
144,28-Sep-2024,rrq,ae,1,ae,1.9.20
145,28-Sep-2024,ae,rrq,2,ae,1.9.20
146,28-Sep-2024,fnoc,btr,1,btr,1.9.20
147,28-Sep-2024,fnoc,btr,2,fnoc,1.9.20
148,28-Sep-2024,fnoc,btr,3,fnoc,1.9.20
149,29-Sep-2024,tlid,ae,1,ae,1.9.20
150,29-Sep-2024,ae,tlid,2,tlid,1.9.20
151,29-Sep-2024,tlid,ae,3,tlid,1.9.20
152,29-Sep-2024,fnoc,evos,1,fnoc,1.9.20
153,29-Sep-2024,evos,fnoc,2,fnoc,1.9.20
154,29-Sep-2024,geek,rbl,1,geek,1.9.20
155,29-Sep-2024,geek,rbl,2,rbl,1.9.20
156,29-Sep-2024,rbl,geek,3,geek,1.9.20
157,4-Oct-2024,geek,btr,1,btr,1.9.20
158,4-Oct-2024,geek,btr,2,btr,1.9.20
159,4-Oct-2024,dewa,rbl,1,rbl,1.9.20
160,4-Oct-2024,rbl,dewa,2,dewa,1.9.20
161,4-Oct-2024,rbl,dewa,3,rbl,1.9.20
162,5-Oct-2024,evos,geek,1,geek,1.9.20
163,5-Oct-2024,evos,geek,2,evos,1.9.20
164,5-Oct-2024,evos,geek,3,geek,1.9.20
165,5-Oct-2024,tlid,rrq,1,tlid,1.9.20
166,5-Oct-2024,rrq,tlid,2,rrq,1.9.20
167,5-Oct-2024,tlid,rrq,3,rrq,1.9.20
168,5-Oct-2024,ae,fnoc,1,fnoc,1.9.20
169,5-Oct-2024,ae,fnoc,2,fnoc,1.9.20
170,6-Oct-2024,dewa,fnoc,1,fnoc,1.9.20
171,6-Oct-2024,fnoc,dewa,2,dewa,1.9.20
172,6-Oct-2024,fnoc,dewa,3,fnoc,1.9.20
173,6-Oct-2024,btr,ae,1,btr,1.9.20
174,6-Oct-2024,ae,btr,2,btr,1.9.20
175,6-Oct-2024,rrq,rbl,1,rrq,1.9.20
176,6-Oct-2024,rbl,rrq,2,rrq,1.9.20
177,23-Oct-2024,btr,ae,1,btr,1.9.20
178,23-Oct-2024,ae,btr,2,btr,1.9.20
179,23-Oct-2024,ae,btr,3,btr,1.9.20
180,23-Oct-2024,fnoc,geek,1,fnoc,1.9.20
