game_id,date,team_1,team_2,game_number,team_winner,patch_version,season,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20
28,17-Aug-2024,rrq,fnoc,2,rrq,1.9.06,14,fanny,chip,hayabusa,ling,valentina,zhuxin,roger,edith,zhask,ruby,luo yi,julian,natan,moskov,harith,tigreal,claude,nolan,terizla,arlott
29,17-Aug-2024,geek,evos,1,geek,1.9.06,14,zhuxin,chip,hylos,helcurt,hayabusa,moskov,ling,khufra,roger,ruby,harith,fanny,vexana,valentina,faramis,zhask,aurora,luo yi,terizla,edith
30,17-Aug-2024,evos,geek,2,evos,1.9.06,14,helcurt,chip,fanny,ling,hylos,hayabusa,zhask,ruby,terizla,tigreal,harith,vexana,lancelot,moskov,x.borg,roger,nolan,alpha,barats,natan
31,17-Aug-2024,evos,geek,3,geek,1.9.06,14,helcurt,chip,fanny,ling,faramis,tigreal,zhask,hylos,harith,karrie,franco,ruby,alpha,zhuxin,hayabusa,aurora,roger,terizla,nolan,vexana
32,18-Aug-2024,dewa,btr,1,btr,1.9.06,14,fanny,chip,ruby,ling,harith,hylos,roger,arlott,valentina,zhuxin,chou,hayabusa,alpha,moskov,terizla,claude,mathilda,natan,khufra,bruno
33,18-Aug-2024,btr,dewa,2,btr,1.9.06,14,hylos,chip,zhuxin,ling,ruby,fanny,valentina,harith,terizla,arlott,roger,alpha,moskov,tigreal,mathilda,angela,chou,yu zhong,x.borg,yve
34,18-Aug-2024,fnoc,ae,1,fnoc,1.9.06,14,zhuxin,chip,fanny,ling,roger,hayabusa,harith,ruby,zhask,nolan,tigreal,alpha,aurora,moskov,valentina,claude,karrie,faramis,edith,benedetta
35,18-Aug-2024,ae,fnoc,2,fnoc,1.9.06,14,fanny,chip,zhuxin,ling,harith,zhask,roger,hayabusa,edith,ruby,valentina,moskov,tigreal,luo yi,hylos,faramis,aurora,chou,lancelot,minotaur
36,18-Aug-2024,tlid,rbl,1,tlid,1.9.06,14,julian,ling,hayabusa,fanny,zhuxin,chip,zhask,terizla,moskov,roger,edith,grock,harith,nolan,joy,valentina,alpha,mathilda,x.borg,yve
37,18-Aug-2024,rbl,tlid,2,tlid,1.9.06,14,fanny,chip,moskov,ling,zhuxin,zhask,hayabusa,valentina,edith,khufra,roger,karrie,luo yi,minotaur,aurora,x.borg,terizla,lunox,gloo,joy
