0,8,4,1,16,123,49,83,20,124
0,4,8,2,124,123,77,83,30,16
0,2,3,1,81,123,124,49,72,83
0,2,3,2,81,123,124,83,72,110
0,2,3,3,124,123,81,83,49,110
0,8,1,1,16,123,82,83,124,48
0,8,1,2,16,123,124,83,82,48
0,7,3,1,72,123,109,83,48,16
0,7,3,2,72,123,109,83,20,16
0,5,0,1,16,123,72,83,20,38
0,5,0,2,16,123,72,83,20,50
0,5,0,3,16,123,72,50,30,83
0,4,6,1,95,83,124,16,48,123
0,6,4,2,16,123,124,83,49,95
0,7,1,1,16,123,72,83,124,48
0,1,7,2,77,123,124,16,28,95
0,1,7,3,77,123,124,16,28,109
0,5,2,1,110,123,109,50,20,83
0,2,5,2,50,123,28,109,83,48
0,6,7,1,124,123,16,83,28,20
0,6,7,2,124,123,16,83,38,20
0,3,8,1,16,123,28,83,115,109
0,8,3,2,28,123,20,83,77,109
0,3,8,3,16,123,115,83,30,109
0,1,0,1,124,123,20,83,30,16
0,1,0,2,124,123,20,83,30,16
0,4,7,1,124,123,110,83,35,16
0,7,4,2,16,123,20,83,109,124
0,5,3,1,124,123,48,50,20,30
0,3,5,2,50,123,16,83,48,20
0,3,5,3,50,123,16,83,75,5
0,2,1,1,16,123,28,83,72,48
0,1,2,2,48,123,124,83,28,16
0,4,0,1,124,123,16,83,38,20
0,0,4,2,16,123,124,83,72,49
0,8,6,1,115,83,20,16,124,123
0,6,8,2,16,123,30,83,124,49
0,4,5,1,50,16,72,119,123,124
0,5,4,2,16,123,20,50,124,23
0,4,5,3,50,16,23,119,72,123
0,2,6,1,115,123,124,83,49,38
0,6,2,2,16,123,83,49,28,20
0,5,1,1,16,123,28,50,109,83
0,1,5,2,50,16,38,123,109,72
0,5,1,3,16,123,28,50,109,83
0,3,0,1,20,123,16,83,28,124
0,0,3,2,48,123,28,83,30,124
0,3,0,3,20,123,16,83,28,48
0,2,8,1,124,123,16,109,49,110
0,2,8,2,124,123,49,109,16,48
0,6,0,1,16,123,20,83,124,28
0,6,0,2,16,123,20,83,48,124
0,0,6,3,28,83,49,123,124,20
0,8,7,1,28,123,38,16,110,83
0,8,7,2,28,123,38,16,72,83
0,1,3,1,124,123,49,83,48,28
0,1,3,2,124,123,48,28,53,16
0,1,3,3,124,123,48,28,53,83
0,4,2,1,16,123,124,83,72,38
0,4,2,2,16,123,124,83,49,38
0,4,2,3,16,123,124,83,48,38
0,1,6,1,48,123,124,83,20,72
0,6,1,2,16,123,28,83,20,30
0,1,6,3,48,123,124,83,20,16
0,5,8,1,16,38,124,50,83,123
0,5,8,2,16,123,124,38,83,50
0,8,5,3,50,16,40,123,38,83
0,1,4,1,49,123,105,124,48,38
0,4,1,2,72,123,124,105,48,43
0,1,4,3,105,123,43,124,72,49
0,0,7,1,124,123,38,16,48,83
0,0,7,2,124,123,38,83,72,16
0,0,7,3,38,123,72,83,124,16
0,6,3,1,48,123,20,83,16,124
0,3,6,2,20,123,16,83,49,48
0,5,7,1,28,123,72,50,124,38
0,7,5,2,50,123,38,72,40,124
0,7,5,3,50,123,38,72,48,124
0,0,2,1,124,123,110,83,48,105
0,0,2,2,124,123,110,83,48,16
0,5,6,1,20,123,96,50,124,38
0,6,5,2,48,123,50,105,38,124
0,3,4,1,20,123,75,124,49,38
0,3,4,2,20,123,75,124,49,48
0,2,7,1,38,123,124,83,28,16
0,7,2,2,16,123,48,38,20,105
0,2,7,3,38,123,124,16,28,83
0,0,8,1,124,123,110,83,72,16
0,8,0,2,38,123,49,124,105,48
0,1,3,1,124,123,83,109,48,119
0,1,3,2,124,123,83,109,48,75
0,0,6,1,124,123,49,16,48,20
0,6,0,2,16,123,20,124,48,105
0,5,4,1,16,123,20,50,124,38
0,5,4,2,16,123,20,50,124,38
0,2,8,1,16,123,124,83,72,48
0,8,2,2,124,123,20,16,105,48
0,2,8,3,16,123,124,83,105,20
0,1,2,1,48,123,20,83,40,16
0,1,2,2,40,123,20,16,48,83
0,1,2,3,48,123,72,16,27,83
0,6,8,1,16,123,121,49,83,30
0,6,8,2,16,123,121,49,83,30
0,6,8,3,16,123,121,49,83,20
0,3,2,1,48,123,124,83,27,105
0,2,3,2,83,123,48,105,124,72
0,0,5,1,50,16,38,20,48,124
0,5,0,2,16,123,20,50,124,38
0,0,5,3,50,16,38,20,48,124
0,7,4,1,16,123,75,124,48,105
0,4,7,2,49,123,105,16,35,20
0,0,3,1,124,123,48,105,72,38
0,0,3,2,124,123,48,105,72,83
0,8,4,1,20,123,105,16,75,124
0,8,4,2,20,123,105,16,75,121
0,1,7,1,48,123,110,83,27,72
0,1,7,2,48,123,110,101,105,83
0,1,7,3,48,123,110,101,105,83
1,5,2,1,16,123,20,50,109,105
1,2,5,2,50,16,121,20,123,105
1,8,1,1,101,123,49,16,27,105
1,1,8,2,16,101,72,123,105,119
1,0,2,1,72,123,110,105,27,16
1,0,2,2,72,123,40,105,48,16
1,7,3,1,20,123,5,110,72,105
1,3,7,2,100,123,16,105,20,101
1,3,7,3,16,123,100,83,101,105
1,6,4,1,16,123,83,105,121,20
1,6,4,2,16,123,83,101,121,110
1,7,5,1,50,110,121,72,75,119
1,5,7,2,101,123,100,50,72,105
1,6,1,1,121,123,16,105,83,20
1,6,1,2,121,123,16,105,83,20
1,8,3,1,119,123,110,16,27,105
1,3,8,2,16,123,100,110,48,105
1,8,3,3,110,16,119,105,83,123
1,5,8,1,16,50,83,123,121,48
1,8,5,2,50,16,123,83,121,101
1,7,2,1,20,123,16,105,40,38
1,2,7,2,38,20,27,105,123,101
1,3,6,1,20,123,100,83,110,121
1,3,6,2,20,123,100,83,27,105
1,3,6,3,100,123,20,83,27,105
1,7,0,1,16,123,20,105,95,101
1,0,7,2,101,16,97,123,110,105
1,4,1,1,72,123,105,16,82,83
1,4,1,2,72,123,105,16,82,83
1,4,1,3,72,123,105,16,40,83
1,8,0,1,97,101,20,16,105,123
1,0,8,2,101,123,16,97,20,83
1,8,0,3,97,101,83,16,105,54
1,4,3,1,105,123,72,16,83,20
1,3,4,2,16,123,20,105,97,83
1,5,6,1,16,123,100,50,105,121
1,5,6,2,20,50,100,123,105,121
1,6,5,3,50,105,121,20,123,40
1,5,1,1,72,50,28,123,83,105
1,5,1,2,72,50,101,123,40,105
1,2,6,1,97,123,101,16,110,20
1,6,2,2,16,123,72,40,20,100
1,6,2,3,16,123,72,100,20,97
1,3,5,1,50,83,105,121,40,123
1,3,5,2,105,83,40,121,101,123
1,3,5,3,40,83,101,123,50,97
1,8,7,1,97,123,20,16,110,101
1,7,8,2,16,97,48,110,54,101
1,8,7,3,97,16,110,123,20,101
1,0,4,1,72,123,97,105,16,40
1,0,4,2,72,123,97,105,16,40
1,2,4,1,16,123,83,105,20,101
1,4,2,2,40,123,27,16,97,20
1,4,2,3,40,123,27,16,105,20
1,1,0,1,40,123,20,105,16,83
1,0,1,2,72,123,97,40,119,105
1,7,6,1,105,123,110,16,54,83
1,6,7,2,16,105,83,123,20,27
1,1,0,1,40,123,124,101,16,110
1,0,1,2,72,123,101,16,124,125
1,0,1,3,72,16,101,125,88,123
1,4,5,1,50,16,124,88,123,97
1,5,4,2,16,123,83,50,20,124
1,4,5,3,50,16,124,88,123,95
1,4,5,4,50,16,124,88,123,95
1,4,5,5,50,16,124,88,123,95
1,8,1,1,88,16,105,125,54,123
1,1,8,2,16,123,124,88,101,125
1,8,1,3,88,123,105,16,54,125
1,8,1,4,88,123,54,16,100,125
1,1,8,5,16,123,124,88,27,125
1,7,5,1,50,101,48,125,105,123
1,5,7,2,101,50,100,105,124,123
1,7,5,3,50,124,48,125,105,123
1,7,5,4,50,124,105,125,48,123
1,1,5,1,50,101,105,88,123,100
1,5,1,2,16,123,88,125,101,105
1,5,1,3,16,123,88,125,124,101
1,7,8,1,16,123,54,101,48,125
1,7,8,2,16,123,54,101,105,125
1,7,8,3,16,123,54,101,25,106
1,8,7,4,110,16,106,25,123,125
